group_id,client_id_list,group_data_num,group_delay_time,group_delay_var,group_kl_divergence,group_label0,group_label1,group_label2,group_label3,group_label4,group_label5,group_label6,group_label7,group_label8,group_label9
0,"[6, 15, 27, 86, 68, 31, 10, 58, 70, 45]",5915.0,11.71,5.916484000000001,0.00517513100414504,561,585,592,672,725,519,514,597,570,580
1,"[1, 8, 37, 62, 97, 50, 36, 16, 23, 21]",6478.0,7.22,3.2018759999999995,0.010478546680354613,674,551,555,846,623,662,752,618,514,683
2,"[99, 90, 53, 82, 33, 74, 75, 96, 30, 47]",5640.0,10.86,6.477449,0.014417723487368424,593,613,779,482,654,503,462,560,437,557
3,"[85, 69, 93, 43, 89, 84, 38, 98, 66, 41]",7063.0,11.19,7.077080999999998,0.014430753058516675,493,634,611,699,660,898,738,659,770,901
4,"[91, 59, 34, 88, 9, 60, 78, 35, 76, 0]",5847.0,9.23,8.790956,0.020022622334059596,834,618,505,526,592,611,552,715,380,514
5,"[24, 51, 81, 46, 12, 18, 57, 40, 71, 61]",4439.0,11.29,6.063880999999999,0.023626838272290403,456,517,473,418,412,457,595,273,536,302
6,"[5, 94, 13, 7, 4, 29, 32, 17, 52, 72]",5412.0,10.78,8.626744,0.02304332038449326,613,491,695,514,647,407,604,358,669,414
7,"[83, 22, 39, 2, 95, 20, 11, 77, 19, 56]",7344.0,11.1,9.593881,0.009548137639037946,523,696,779,847,689,859,615,785,776,775
8,"[54, 55, 67, 14, 80, 73, 26, 42, 64, 48]",7019.0,12.1,7.292564000000001,0.016856498767989885,668,791,563,680,481,648,757,767,680,984
9,"[44, 25, 87, 63, 65, 92, 3, 49, 79, 28]",4810.0,11.34,8.825765,0.03398932223643178,583,501,442,312,513,434,409,664,665,287
