id,time,data_num,label0,label1,label2,label3,label4,label5,label6,label7,label8,label9
0.0,4.0,100.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
1.0,4.0,100.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2.0,4.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4.0,100.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
4.0,4.0,100.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
5.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
6.0,4.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
7.0,4.0,100.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,4.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
9.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
10.0,2.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
11.0,2.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
12.0,2.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
13.0,2.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
14.0,2.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
15.0,3.0,100.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,3.0,100.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
17.0,3.0,100.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
18.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
19.0,3.0,100.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
20.0,3.0,100.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
21.0,3.0,100.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
22.0,3.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
23.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
24.0,3.0,100.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
25.0,5.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
26.0,5.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
27.0,5.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
28.0,5.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
29.0,5.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
30.0,5.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
31.0,5.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
32.0,5.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
33.0,5.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
34.0,5.0,100.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
35.0,1.0,100.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25
36.0,1.0,100.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0
37.0,1.0,100.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0
38.0,1.0,100.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
39.0,1.0,100.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25
40.0,5.0,100.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
41.0,5.0,100.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25
42.0,5.0,100.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0
43.0,5.0,100.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0
44.0,5.0,100.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25
45.0,3.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
46.0,3.0,100.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
47.0,3.0,100.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
48.0,3.0,100.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
49.0,3.0,100.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
50.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
51.0,5.0,100.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
52.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
53.0,5.0,100.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
54.0,5.0,100.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
55.0,5.0,100.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
56.0,5.0,100.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
57.0,5.0,100.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
58.0,5.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
59.0,5.0,100.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
60.0,3.0,100.0,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125
61.0,3.0,100.0,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0
62.0,3.0,100.0,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.0,0.125,0.125
63.0,3.0,100.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.125
64.0,3.0,100.0,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.125
65.0,2.0,100.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
66.0,2.0,100.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
67.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
68.0,2.0,100.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
69.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
70.0,1.0,100.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
71.0,1.0,100.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25
72.0,1.0,100.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0
73.0,1.0,100.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
74.0,1.0,100.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0
75.0,1.0,100.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
76.0,1.0,100.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
77.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
78.0,1.0,100.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
79.0,1.0,100.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
80.0,5.0,100.0,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.0,0.125
81.0,5.0,100.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.125
82.0,5.0,100.0,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.125
83.0,5.0,100.0,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.125
84.0,5.0,100.0,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0
85.0,5.0,100.0,0.125,0.125,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.125
86.0,5.0,100.0,0.0,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
87.0,5.0,100.0,0.0,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125
88.0,5.0,100.0,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.0,0.125,0.125
89.0,5.0,100.0,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.0
90.0,3.0,100.0,0.125,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.125
91.0,3.0,100.0,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.0,0.125
92.0,3.0,100.0,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.0
93.0,3.0,100.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125
94.0,3.0,100.0,0.125,0.125,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.125
95.0,3.0,100.0,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.125,0.125
96.0,3.0,100.0,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.0
97.0,3.0,100.0,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.0,0.125
98.0,3.0,100.0,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125
99.0,3.0,100.0,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.125
