group_id,client_id_list,group_data_num,group_delay_time,group_delay_var,group_kl_divergence,group_label0,group_label1,group_label2,group_label3,group_label4,group_label5,group_label6,group_label7,group_label8,group_label9
0,"[12, 7, 20, 18, 4, 89, 84, 60, 38]",5804.0,7.72,0.025222222222222215,0.003949050140028669,517,606,558,610,513,700,587,539,601,573
1,"[19, 80, 3, 52, 73, 49, 79, 72, 47, 40]",5998.0,10.93,0.12329600000000011,2.224446462197044e-07,600,600,599,600,600,600,599,600,600,600
2,"[71, 56, 26, 42, 41, 61, 28, 64, 45, 48]",5999.0,12.1,0.09296900000000005,1.2509730268429127e-07,600,599,600,600,600,600,600,600,600,600
3,"[15, 53, 36, 24, 16, 27, 43, 82]",4257.0,4.94,0.13978593749999996,0.04938778406601363,508,540,224,249,282,531,560,463,558,341
4,"[32, 14, 96, 76, 70, 92, 66, 30, 0, 17]",5998.0,9.3,0.04800400000000003,2.224446462197044e-07,600,600,600,599,600,599,600,600,600,600
5,"[99, 2, 6, 97, 90, 25, 50, 13, 69, 88, 9]",7462.0,3.82,0.14764462809917356,0.018203742187753322,920,417,687,869,856,799,682,821,694,717
6,"[93, 51, 81, 86, 46, 33, 74, 23]",5066.0,6.1,0.2010484374999998,0.03583811632533891,333,604,650,525,699,295,393,414,534,619
7,"[91, 1, 85, 8, 37, 44, 59, 62, 5, 94, 54, 34, 83, 22, 39]",8519.0,2.81,0.21041955555555558,0.008465183256846228,691,1094,904,852,810,802,936,714,797,919
8,"[10, 98, 78, 58, 29, 65, 57, 11, 35, 77, 67]",6313.0,8.6,0.04266942148760328,0.002538943170928719,656,609,642,603,630,604,609,758,600,602
9,"[87, 63, 95, 75, 68, 55, 21, 31]",4552.0,7.3,0.07246874999999996,0.010728156516533905,573,327,529,491,408,467,430,489,413,425
